GENDER,COLLEGE,COURSES,LEVEL,CGPA,Openness Score,Conscientiousness Score
MALE,COE,Comp. Engineering,200,3.45,18,33
FEMALE,COE,Comp. Engineering,200,3.53,16,31
MALE,CST,Comp. Science,400,4.21,32,39
FEMALE,COE,Elec. Elect. Engineering,300,2.51,17,18
MALE,COE,Comp. Engineering,400,4.15,19,40
FEMALE,COE,Civil Engineering,200,3.05,27,35
MALE,COE,Elec. Elect. Engineering,500,4.53,34,41
MALE,COE,Elec. Elect. Engineering,400,4.98,33,43
MALE,CST,Architecture,300,2.02,20,17
MALE,CST,Industrial Mathematics,400,4,26,31
MALE,CST,Industrial Mathematics,400,3.52,32,40
MALE,CST,Comp. Science,400,4.76,44,34
MALE,COE,Elec. Elect. Engineering,200,3.51,23,33
MALE,COE,Civil Engineering,400,3.53,21,34
MALE,CST,Architecture,400,4.02,38,36
MALE,COE,Elec. Elect. Engineering,200,2.57,39,23
FEMALE,COE,Comp. Engineering,400,3.68,14,35
MALE,COE,Civil Engineering,400,3.89,38,35
FEMALE,COE,Comp. Engineering,200,3.24,39,32
FEMALE,COE,Civil Engineering,400,3.89,24,38
FEMALE,COE,Civil Engineering,300,3.1,17,40
MALE,COE,Comp. Engineering,300,1.98,18,19
MALE,CST,Comp. Science,200,2.33,22,18
MALE,COE,Mechanical Engineering,500,4.02,30,38
MALE,CST,Comp. Science,300,4.37,34,37
MALE,COE,Mechanical Engineering,400,4.41,28,33
MALE,COE,Comp. Engineering,200,3.81,20,34
FEMALE,CST,Management Information Systems (MIS),300,2.93,33,31
FEMALE,CST,Architecture,400,3.59,27,35
FEMALE,COE,Comp. Engineering,300,2.51,15,23
FEMALE,CST,Management Information Systems (MIS),200,1.51,17,22
FEMALE,COE,Mechanical Engineering,500,4.98,36,39
MALE,CST,Comp. Science,400,3.82,41,31
MALE,COE,Mechanical Engineering,500,3.51,37,34
MALE,CST,Comp. Science,200,2.6,20,32
MALE,CST,Comp. Science,400,4.58,40,36
FEMALE,COE,Civil Engineering,200,3.99,36,32
FEMALE,CST,Comp. Science,300,3.57,41,36
MALE,COE,Comp. Engineering,200,3.92,38,35
MALE,COE,Comp. Engineering,400,4.31,32,38
MALE,COE,Civil Engineering,200,2.15,26,19
MALE,CST,Comp. Science,200,3.89,30,32
FEMALE,COE,Mechanical Engineering,300,2.4,15,22
MALE,COE,Mechanical Engineering,400,4.44,31,34
MALE,COE,Comp. Engineering,300,4.28,38,37
MALE,CST,Architecture,200,3.43,22,31
MALE,CST,Management Information Systems (MIS),400,4.56,40,40
MALE,COE,Comp. Engineering,200,2.17,22,25
MALE,CST,Architecture,200,2.12,25,19
MALE,COE,Mechanical Engineering,200,3.5,21,33
MALE,COE,Mechanical Engineering,200,4.48,28,39
FEMALE,CST,Industrial Mathematics,300,3.32,25,21
MALE,COE,Civil Engineering,300,3.85,27,35
MALE,COE,Civil Engineering,200,3.83,18,30
MALE,CST,Industrial Mathematics,200,2.61,23,36
MALE,CST,Comp. Science,400,4.7,40,33
FEMALE,COE,Elec. Elect. Engineering,400,4.91,36,38
FEMALE,COE,Comp. Engineering,200,3.92,31,39
MALE,COE,Civil Engineering,300,3.33,31,32
FEMALE,COE,Mechanical Engineering,400,4.89,29,43
MALE,COE,Mechanical Engineering,200,3.56,31,36
FEMALE,COE,Civil Engineering,300,2.7,18,23
FEMALE,COE,Mechanical Engineering,400,4.75,31,42
MALE,CST,Architecture,400,4.86,44,38
FEMALE,COE,Civil Engineering,500,3.57,22,34
MALE,COE,Mechanical Engineering,300,2.1,30,19
FEMALE,CST,Industrial Mathematics,300,2.01,15,21
MALE,COE,Mechanical Engineering,400,4.52,34,36
MALE,CST,Industrial Mathematics,300,2.45,18,18
FEMALE,COE,Elec. Elect. Engineering,200,2.88,26,32
MALE,CST,Architecture,200,2.17,15,21
MALE,COE,Elec. Elect. Engineering,500,3.82,36,35
MALE,CST,Architecture,300,2.79,33,36
FEMALE,COE,Comp. Engineering,400,3.71,24,38
FEMALE,CST,Management Information Systems (MIS),200,2.87,21,31
MALE,COE,Elec. Elect. Engineering,300,4.43,30,36
FEMALE,COE,Elec. Elect. Engineering,300,3.92,33,30
MALE,COE,Comp. Engineering,400,3.98,25,36
MALE,CST,Comp. Science,300,3.09,27,23
FEMALE,CST,Comp. Science,200,2.48,17,11
FEMALE,COE,Comp. Engineering,200,3.66,32,39
FEMALE,COE,Comp. Engineering,400,3.79,34,32
MALE,CST,Industrial Mathematics,200,2.03,18,21
FEMALE,CST,Comp. Science,200,3.9,28,31
MALE,CST,Architecture,400,3.81,29,29
FEMALE,COE,Civil Engineering,200,2.03,29,20
MALE,COE,Mechanical Engineering,200,2.75,17,33
MALE,CST,Architecture,300,3.19,22,19
MALE,COE,Elec. Elect. Engineering,300,2,28,16
MALE,CST,Comp. Science,200,1.85,19,13
FEMALE,COE,Elec. Elect. Engineering,500,3.99,13,38
FEMALE,CST,Architecture,200,2.62,29,29
MALE,CST,Industrial Mathematics,300,3.35,21,32
MALE,CST,Architecture,300,1.55,14,12
FEMALE,COE,Mechanical Engineering,200,1.85,14,25
MALE,CST,Management Information Systems (MIS),400,4.65,45,34
MALE,COE,Mechanical Engineering,300,2.85,17,35
FEMALE,COE,Elec. Elect. Engineering,500,3.78,30,36
MALE,COE,Mechanical Engineering,500,4.2,13,34
MALE,COE,Mechanical Engineering,200,3.74,18,38
FEMALE,COE,Civil Engineering,500,4.95,29,40
MALE,COE,Mechanical Engineering,500,4.95,29,42
MALE,COE,Comp. Engineering,400,3.94,32,40
FEMALE,CST,Comp. Science,400,3.83,27,27
MALE,CST,Comp. Science,300,1.91,20,14
MALE,COE,Civil Engineering,500,3.98,17,37
MALE,COE,Comp. Engineering,400,4.6,30,37
